Sample_ID	otu1	otu2	otu3	otu4	otu5	otu6	otu7	otu8	otu9	otu10	Class
taxonomy	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Rubrivivax; s__Rubrivivax gelatinosus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__	NA
USygt39.M.418483	0.76841	1.53683	338.10246	0	0	0	0	1.53683	0	0	0
USygt23.M.418612	1.0208	0	91.19137	0	0	0	0	1720.72677	0	0.68053	0
USygt30.M.418398	0.44728	0.89457	4.47284	0	0	0	0.44728	2718.59289	0	0	0
USygt25.M.418835	0	0	52.24315	0	0	0	0	423.30346	0	0	0
USygt42.F.418628	0	0	285.09645	0	0.31961	0	0	2027.31702	1.91769	0	0
USygt36.M.418734	5.07451	0	206.02506	0	0	0	0	1696.91573	0	0.6766	0
USygt39.F.418756	0.5149	0	582.34876	0	0	0	0.5149	2.57449	0	0	0
USygt35.M.418364	1.12463	3.74875	0	0	0	0	0	3.74875	0	0	0
USygt34.M.418823	0.55495	0	245.28591	0	0	0	0.55495	2577.16686	0.55495	0	0
USygt42.M.418663	0.89277	0.29759	113.38199	0	0.29759	0	1.19036	1.48795	4.76145	0.59518	0
USygt41.M.418492	0.33195	0	451.4481	0	0	0	0	1.65974	0	0	0
USygt24.M.418730	0.63982	0	412.04373	0	0	0	0	1.91946	0	0	0
USygt29.M.418603	10.82452	0	67.35256	0	0	0	4.8109	505.54514	0	1.20272	0
USchp3Mom.418727	1.47392	0.36848	164.3426	0	0.36848	0	1.47392	1387.70007	0	0	0
TS109.418691	0.31119	1.55593	758.98164	0	0	0	0.31119	8466.42619	0	0	0
TS25.418407	2.23225	0.37204	40.92464	0	0	0	0.37204	6363.03719	0	0.74408	0
TS13.418619	0.33527	0	200.8297	0	0	0	1.3411	3835.21024	0	0	0
TS26.418393	2.39949	0	179.61863	0	0	0	1.37113	6008.65447	1.37113	0	0
TS14.418541	0.34534	0	181.99346	0	0	0	0	59.39824	0.34534	0.34534	0
USchp1Mom.418814	0.90677	0	610.25548	0	0	0	0.90677	1565.98993	0	1.36015	0
USygt12.M.418543	0	0.42588	94.97135	0	0	0	1.27764	1225.68409	0	0	0
USygt13.F.418411	0.52881	1.05762	75.6201	0	0	0	0	251.18566	0	0	0
USygt8.M.418616	1.59161	0.3979	87.93633	0	0	0	0.3979	1562.9589	0	0	0
h10M.1.418706	0	0.70772	344.6597	0	0	0	0	192.49988	0	0	1
USygt1.M.418373	0.7332	0.3666	152.87222	0	0	0	0.7332	148.10642	0	0	0
USygt3.M.418496	12.22434	0	37.89546	0	0	0	0	6.11217	0	0	0
USygt1.F.418592	1.78894	0	66.19095	0	0	0	0	1206.64318	0	0	0
USygt12.F.418502	0.84974	0	180.99383	0	0	0	0	571.87251	0	0	0
USygt7.M.418598	0.62705	0	156.76134	0	0	0	0.62705	6732.58609	0	0	0
h122M.1.418534	0	0	58.47738	66.40651	0	0	0	5.94685	0	0	1
USygt14.M.418857	0	0	32.99424	0	2.35673	0	0.47135	2720.13963	0	0	0
h37M.1.418863	0	0	79.54939	0	0	2.20971	0	2.94627	0	0	1
h305M.1.418771	0	0	40.62196	429.06945	0	34.69792	0	159.94897	0	0	1
USygt2.M.418457	0	0	0	0	0	0	0	7556.07235	0	0	0
Amz34eld.418382	0.22479	66.31433	182.08341	3768.22748	0	2.24794	0	28.32409	0	1.12397	1
Amz5eldF.418421	0	2.9748	1.27492	644.68214	0.84994	0	0	41.22226	0.42497	0	1
Amz32eldF.418511	0.36518	1.46072	17.52863	273.88486	0	0	0.54777	2932.94164	0.36518	0.18259	1
Amz31adlt.418759	0.77535	1.16303	26.36192	0	0	0	0	185.3088	0	0	1
Amz29adlt.418370	0.62895	0.62895	125.47471	194.02981	0	0	0	10.37761	0.62895	1.25789	1
Amz6eldM.418356	1.12211	0.37404	4.48842	189.26179	0.74807	0	0	7.85474	0	0	1
Amz33eld.418866	0	0	2.58826	116.47168	0	0	0	138.90327	0	0	1
Amz7adltF.418395	0	0	12.47247	0.73367	4.40205	0	0	14.6735	0	0	1
